,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
647,750,2016,2016-11-29,1843,French Ligue 1,Lorient,Stade Rennes,46.09,54.87,0.4108,0.2837,0.3055,1.35,1.13,,,2.0,1.0,1.35,1.91,1.08,1.19,2.1,1.05
648,751,2016,2016-11-29,1843,French Ligue 1,Lille,Caen,58.54,51.72,0.5026,0.1997,0.2977,1.49,0.82,,,4.0,2.0,1.28,1.58,1.81,0.85,4.2,2.1
649,752,2016,2016-11-29,1843,French Ligue 1,Dijon FCO,AS Monaco,54.68,79.43,0.1465,0.651,0.2025,1.24,2.2,,,1.0,1.0,1.1,0.99,1.58,0.57,1.05,1.05
650,753,2016,2016-11-30,1843,French Ligue 1,St Etienne,Marseille,64.81,58.7,0.4941,0.2034,0.3025,1.45,0.8,,,0.0,0.0,0.68,1.44,0.76,1.1,0.0,0.0
651,754,2016,2016-11-30,1843,French Ligue 1,AS Nancy Lorraine,Metz,48.51,51.04,0.4715,0.2272,0.3012,1.44,0.93,,,4.0,0.0,0.84,0.36,1.07,0.81,3.22,0.0
652,755,2016,2016-11-30,1843,French Ligue 1,Guingamp,Nice,59.34,62.98,0.4203,0.29,0.2897,1.5,1.28,,,0.0,1.0,0.58,0.87,1.66,0.98,0.0,1.05
653,756,2016,2016-11-30,1843,French Ligue 1,Nantes,Lyon,54.47,70.86,0.2955,0.4071,0.2974,1.11,1.4,,,0.0,6.0,1.04,3.45,1.07,3.06,0.0,5.91
654,757,2016,2016-11-30,1843,French Ligue 1,Toulouse,Montpellier,61.38,57.11,0.4915,0.2209,0.2876,1.59,1.0,,,1.0,0.0,0.75,0.45,0.57,0.92,1.05,0.0
655,758,2016,2016-11-30,1843,French Ligue 1,Bastia,Bordeaux,52.08,60.57,0.3766,0.3029,0.3205,1.14,1.07,,,1.0,1.0,1.07,1.11,0.75,1.15,1.05,1.05
656,759,2016,2016-11-30,1843,French Ligue 1,Paris Saint-Germain,Angers,87.05,57.47,0.8096,0.0483,0.1421,2.4,0.31,,,2.0,0.0,1.43,0.38,1.13,0.48,2.1,0.0
