,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2066,4254,2017,2017-09-20,1854,Italy Serie A,Lazio,Napoli,73.41,84.38,0.305,0.4564,0.2385,1.53,1.91,,,1.0,4.0,0.39,2.99,0.62,1.43,1.05,3.68
2067,4255,2017,2017-09-20,1854,Italy Serie A,AC Milan,Spal,74.35,49.36,0.7474,0.0723,0.1804,2.2,0.52,,,2.0,0.0,2.14,0.18,1.29,0.88,2.1,0.0
2068,4256,2017,2017-09-20,1854,Italy Serie A,Cagliari,Sassuolo,60.0,61.68,0.4312,0.3085,0.2603,1.63,1.34,,,0.0,1.0,2.25,2.5,2.21,0.81,0.0,1.05
2069,4257,2017,2017-09-20,1854,Italy Serie A,Udinese,Torino,57.24,64.47,0.3746,0.3544,0.271,1.43,1.38,,,2.0,3.0,2.27,1.14,1.7,0.9,2.1,3.15
2070,4258,2017,2017-09-20,1854,Italy Serie A,Genoa,Chievo Verona,56.1,55.08,0.453,0.2667,0.2803,1.47,1.07,,,1.0,1.0,0.5,1.41,0.97,1.69,1.05,1.05
2071,4259,2017,2017-09-20,1854,Italy Serie A,Juventus,Fiorentina,86.52,66.56,0.7574,0.0795,0.163,2.48,0.67,,,1.0,0.0,1.28,0.32,1.5,0.4,0.84,0.0
2072,4260,2017,2017-09-20,1854,Italy Serie A,Atalanta,Crotone,70.68,50.29,0.6432,0.1076,0.2492,1.68,0.52,,,5.0,1.0,2.73,0.34,1.92,0.88,5.16,1.05
2073,4261,2017,2017-09-20,1854,Italy Serie A,Verona,Sampdoria,42.46,61.38,0.2624,0.4582,0.2793,1.06,1.49,,,0.0,0.0,1.01,0.88,0.68,2.11,0.0,0.0
2074,4262,2017,2017-09-20,1869,Spanish Primera Division,Deportivo La Coruña,Alavés,62.73,65.72,0.4519,0.2666,0.2815,1.36,0.97,,,1.0,0.0,1.91,0.29,1.45,0.47,1.05,0.0
2075,4263,2017,2017-09-20,1869,Spanish Primera Division,Real Madrid,Real Betis,93.07,67.25,0.8715,0.0364,0.0921,3.16,0.55,,,0.0,1.0,3.59,0.98,4.17,0.42,0.0,1.05
2076,4264,2017,2017-09-20,1869,Spanish Primera Division,Sevilla FC,Las Palmas,77.55,64.24,0.6376,0.15,0.2124,2.0,0.85,,,1.0,0.0,1.55,0.45,1.34,1.01,1.05,0.0
