,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2051,4203,2017,2017-09-19,1845,German Bundesliga,Borussia Monchengladbach,VfB Stuttgart,70.83,59.45,0.5788,0.1897,0.2315,1.9,0.99,,,2.0,0.0,1.3,0.46,1.19,0.72,2.0,0.0
2052,4210,2017,2017-09-19,1869,Spanish Primera Division,Valencia,Málaga,72.28,65.77,0.5554,0.1867,0.2579,1.58,0.8,,,5.0,0.0,3.07,0.78,1.75,1.21,4.83,0.0
2053,4215,2017,2017-09-19,1845,German Bundesliga,FC Augsburg,RB Leipzig,65.64,75.32,0.3422,0.3885,0.2693,1.3,1.4,,,1.0,0.0,1.29,0.81,0.72,1.56,1.05,0.0
2054,4219,2017,2017-09-19,1845,German Bundesliga,VfL Wolfsburg,Werder Bremen,67.41,68.08,0.4398,0.2922,0.268,1.49,1.17,,,1.0,1.0,1.24,1.22,0.83,0.9,1.05,1.05
2055,4223,2017,2017-09-19,1845,German Bundesliga,Schalke 04,Bayern Munich,72.36,93.37,0.1645,0.6335,0.202,1.05,2.24,,,0.0,3.0,1.0,2.59,0.7,2.81,0.0,3.02
2056,4224,2017,2017-09-19,1854,Italy Serie A,Bologna,Internazionale,54.76,79.48,0.2055,0.5461,0.2484,1.01,1.8,,,1.0,1.0,0.86,1.16,0.47,0.91,1.05,1.05
2057,4234,2017,2017-09-19,1869,Spanish Primera Division,Barcelona,Eibar,93.72,70.27,0.8583,0.0354,0.1063,2.8,0.43,,,6.0,1.0,2.71,1.37,1.71,1.45,5.85,1.05
2058,4235,2017,2017-09-20,1854,Italy Serie A,Benevento,AS Roma,42.17,80.3,0.1169,0.6887,0.1944,0.81,2.26,,,0.0,4.0,0.82,1.69,1.12,2.23,0.0,4.12
2059,4236,2017,2017-09-20,1845,German Bundesliga,FC Cologne,Eintracht Frankfurt,63.86,67.57,0.4093,0.3008,0.2898,1.29,1.06,,,0.0,1.0,2.19,1.13,1.5,1.29,0.0,1.05
2060,4246,2017,2017-09-20,1869,Spanish Primera Division,Leganes,Girona FC,69.7,58.36,0.5938,0.1452,0.261,1.54,0.61,,,0.0,0.0,0.47,1.24,1.33,0.91,0.0,0.0
2061,4249,2017,2017-09-20,1869,Spanish Primera Division,Athletic Bilbao,Atletico Madrid,76.89,83.45,0.3871,0.3092,0.3036,1.14,0.98,,,1.0,2.0,1.9,2.2,1.43,1.5,1.05,2.03
2062,4250,2017,2017-09-20,1845,German Bundesliga,Hamburg SV,Borussia Dortmund,61.06,87.76,0.1614,0.6273,0.2112,0.96,2.1,,,0.0,3.0,0.21,3.11,0.84,2.26,0.0,2.92
2063,4251,2017,2017-09-20,1845,German Bundesliga,SC Freiburg,Hannover 96,60.26,57.82,0.4744,0.2467,0.2789,1.44,0.96,,,1.0,1.0,2.61,1.36,1.8,0.96,1.05,1.05
2064,4252,2017,2017-09-20,1845,German Bundesliga,Mainz,TSG Hoffenheim,65.33,73.77,0.355,0.3655,0.2796,1.26,1.28,,,2.0,3.0,1.2,1.0,1.37,1.62,2.1,3.15
2065,4253,2017,2017-09-20,1845,German Bundesliga,Hertha Berlin,Bayer Leverkusen,66.06,75.09,0.3472,0.3851,0.2677,1.33,1.41,,,2.0,1.0,0.48,0.45,0.71,1.06,2.1,1.05
