,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
7304,33628,2020,2020-08-21,1843,French Ligue 1,Bordeaux,Nantes,59.92,59.31,0.4538,0.2626,0.2836,1.38,0.98,,,0.0,0.0,0.6,0.19,0.36,0.6,0.0,0.0
7305,33652,2020,2020-08-22,1843,French Ligue 1,Dijon FCO,Angers,54.91,59.5,0.4038,0.3013,0.2948,1.24,1.03,,,0.0,1.0,0.89,1.74,0.72,1.54,0.0,1.05
7306,33673,2020,2020-08-22,1843,French Ligue 1,Lille,Stade Rennes,70.39,65.18,0.5088,0.2242,0.267,1.54,0.93,,,1.0,1.0,0.37,1.67,0.18,1.04,0.84,1.05
7307,33706,2020,2020-08-23,1843,French Ligue 1,AS Monaco,Reims,67.42,58.47,0.5583,0.194,0.2477,1.72,0.91,,,2.0,2.0,2.67,1.75,2.66,0.62,2.1,2.1
7308,33710,2020,2020-08-23,1843,French Ligue 1,Lorient,Strasbourg,52.87,60.44,0.3774,0.3471,0.2754,1.33,1.26,,,3.0,1.0,3.09,0.34,1.11,0.53,2.72,1.05
7309,33711,2020,2020-08-23,1843,French Ligue 1,Nimes,Brest,54.6,54.9,0.4498,0.2865,0.2637,1.53,1.17,,,4.0,0.0,1.92,0.6,1.56,1.17,3.71,0.0
7310,33716,2020,2020-08-23,1843,French Ligue 1,Nice,Lens,59.29,53.53,0.5143,0.2338,0.2519,1.69,1.05,,,2.0,1.0,0.18,2.92,0.33,1.87,2.1,1.05
