,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
441,508,2016,2016-10-25,1854,Italy Serie A,Genoa,AC Milan,59.22,68.89,0.3308,0.3748,0.2944,1.26,1.33,,,3.0,0.0,0.96,0.46,0.88,1.43,2.5,0.0
442,509,2016,2016-10-26,1854,Italy Serie A,Fiorentina,Crotone,68.28,46.28,0.7174,0.0836,0.199,2.05,0.71,,,1.0,1.0,1.61,0.66,2.79,0.36,1.05,1.05
443,510,2016,2016-10-26,1854,Italy Serie A,Napoli,Empoli,75.04,47.92,0.7208,0.0756,0.2035,1.89,0.61,,,2.0,0.0,4.04,0.34,2.1,0.7,1.83,0.0
444,511,2016,2016-10-26,1854,Italy Serie A,Sassuolo,AS Roma,61.31,76.88,0.2574,0.495,0.2476,1.43,1.89,,,1.0,3.0,0.95,2.49,0.76,1.92,1.05,2.96
445,512,2016,2016-10-26,1854,Italy Serie A,US Pescara,Atalanta,47.25,59.19,0.3725,0.3414,0.2861,1.42,1.38,,,0.0,1.0,0.25,0.69,0.42,0.95,0.0,1.05
446,513,2016,2016-10-26,1854,Italy Serie A,Chievo Verona,Bologna,59.0,53.61,0.4926,0.1873,0.3201,1.24,0.67,,,1.0,1.0,1.15,0.26,1.73,0.36,1.05,1.05
447,514,2016,2016-10-26,1854,Italy Serie A,Juventus,Sampdoria,85.48,56.11,0.8346,0.0302,0.1353,2.28,0.28,,,4.0,1.0,2.34,0.44,2.19,0.37,3.78,1.05
448,515,2016,2016-10-26,1854,Italy Serie A,Lazio,Cagliari,69.43,56.52,0.6263,0.1494,0.2244,2.05,1.04,,,4.0,1.0,3.4,1.3,1.91,1.31,3.98,1.05
449,516,2016,2016-10-26,1854,Italy Serie A,Internazionale,Torino,69.81,65.95,0.5057,0.2363,0.258,1.79,1.23,,,2.0,1.0,2.45,0.49,2.29,0.74,2.1,1.05
