,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
1423,1718,2016,2017-04-04,1869,Spanish Primera Division,Athletic Bilbao,Espanyol,77.85,71.76,0.5308,0.1914,0.2778,1.43,0.67,,,2.0,0.0,2.0,0.38,1.86,0.55,2.1,0.0
1424,1719,2016,2017-04-04,1845,German Bundesliga,Werder Bremen,Schalke 04,68.44,74.49,0.3717,0.3605,0.2678,1.33,1.24,,,3.0,0.0,1.89,0.7,1.39,0.95,2.76,0.0
1425,1720,2016,2017-04-04,1845,German Bundesliga,TSG Hoffenheim,Bayern Munich,77.97,95.52,0.1686,0.6177,0.2137,0.96,2.06,,,1.0,0.0,0.9,2.24,0.67,3.16,1.05,0.0
1426,1721,2016,2017-04-04,1845,German Bundesliga,FC Cologne,Eintracht Frankfurt,68.78,69.15,0.4349,0.2688,0.2963,1.18,0.82,,,1.0,0.0,0.37,0.44,0.45,0.85,1.05,0.0
1427,1722,2016,2017-04-04,1845,German Bundesliga,Borussia Dortmund,Hamburg SV,87.53,63.86,0.8695,0.0277,0.1028,2.41,0.52,,,3.0,0.0,3.79,1.15,2.32,1.07,2.35,0.0
1428,1723,2016,2017-04-04,2411,Barclays Premier League,Watford,West Bromwich Albion,58.57,59.97,0.4399,0.274,0.2861,1.36,1.07,,,2.0,0.0,0.75,1.94,0.83,1.88,2.1,0.0
1429,1724,2016,2017-04-04,2411,Barclays Premier League,Leicester City,Sunderland,61.03,45.81,0.5779,0.1712,0.2509,1.73,0.83,,,2.0,0.0,1.1,0.88,1.52,0.56,1.9,0.0
1430,1725,2016,2017-04-04,2411,Barclays Premier League,Burnley,Stoke City,59.7,63.15,0.4178,0.2888,0.2934,1.28,1.06,,,1.0,0.0,0.34,1.11,0.82,1.47,1.05,0.0
1431,1726,2016,2017-04-04,2411,Barclays Premier League,Manchester United,Everton,81.43,74.15,0.5707,0.1744,0.255,1.65,0.88,,,1.0,1.0,3.09,0.64,3.03,0.93,1.05,1.05
1432,1727,2016,2017-04-04,1869,Spanish Primera Division,Real Betis,Villarreal,69.21,78.62,0.3494,0.3542,0.2965,1.12,1.05,,,0.0,1.0,0.68,1.61,1.29,0.91,0.0,1.05
1433,1728,2016,2017-04-04,1869,Spanish Primera Division,Atletico Madrid,Real Sociedad,86.68,74.96,0.6482,0.1201,0.2317,1.73,0.61,,,1.0,0.0,3.04,0.39,2.26,0.59,1.05,0.0
