,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
1222,1421,2016,2017-02-28,1869,Spanish Primera Division,Real Sociedad,Eibar,77.68,74.34,0.5021,0.2284,0.2695,1.51,0.86,,,2.0,2.0,1.77,0.68,1.03,0.72,2.1,2.1
1223,1422,2016,2017-02-28,1869,Spanish Primera Division,Málaga,Real Betis,69.7,66.58,0.4928,0.2355,0.2717,1.48,0.85,,,1.0,2.0,1.01,1.35,1.74,1.05,1.05,2.1
1224,1423,2016,2017-02-28,1869,Spanish Primera Division,Valencia,Leganes,71.57,65.71,0.5278,0.2097,0.2625,1.57,0.8,,,1.0,0.0,1.69,0.07,1.05,0.07,1.05,0.0
1225,1424,2016,2017-03-01,1869,Spanish Primera Division,Barcelona,Sporting Gijón,95.89,55.32,0.9593,0.0071,0.0336,3.57,0.28,,,6.0,1.0,3.28,1.07,3.86,0.64,5.86,1.05
1226,1425,2016,2017-03-01,1869,Spanish Primera Division,Osasuna,Villarreal,51.45,79.32,0.2696,0.4452,0.2852,0.95,1.36,,,1.0,4.0,1.94,1.85,2.1,0.9,1.05,3.91
1227,1426,2016,2017-03-01,1843,French Ligue 1,Bastia,Nantes,47.74,54.22,0.3964,0.2874,0.3162,1.2,1.07,,,2.0,2.0,1.37,1.94,0.55,1.64,1.96,2.1
1228,1427,2016,2017-03-01,1869,Spanish Primera Division,Granada,Alavés,49.77,67.85,0.3809,0.328,0.2911,1.18,1.12,,,2.0,1.0,0.55,1.12,0.7,0.61,2.1,1.05
1229,1428,2016,2017-03-01,1869,Spanish Primera Division,Real Madrid,Las Palmas,92.83,67.35,0.9061,0.0205,0.0734,2.93,0.46,,,3.0,3.0,2.84,1.87,1.99,1.06,3.15,3.15
1230,1429,2016,2017-03-01,1869,Spanish Primera Division,Celta Vigo,Espanyol,74.12,72.71,0.4751,0.2498,0.2751,1.46,0.89,,,2.0,2.0,0.82,0.45,1.03,1.06,2.1,2.1
