,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
9130,44458,2021,2021-08-06,1843,French Ligue 1,AS Monaco,Nantes,74.86,56.6,0.6355,0.1454,0.2191,1.93,0.79,,,1.0,1.0,1.82,0.24,2.18,0.56,1.05,1.05
9131,44507,2021,2021-08-07,1843,French Ligue 1,Lyon,Brest,73.55,53.77,0.6602,0.1455,0.1943,2.25,0.95,,,1.0,1.0,1.17,1.24,1.32,1.13,1.05,1.05
9132,44532,2021,2021-08-07,1843,French Ligue 1,Troyes,Paris Saint-Germain,51.01,86.74,0.1028,0.736,0.1612,0.86,2.56,,,1.0,2.0,0.7,1.64,1.22,2.51,1.05,2.1
9133,44560,2021,2021-08-08,1843,French Ligue 1,Stade Rennes,Lens,66.61,57.82,0.5211,0.2186,0.2604,1.58,0.93,,,1.0,1.0,0.54,2.36,0.78,1.01,1.05,1.05
9134,44565,2021,2021-08-08,1843,French Ligue 1,St Etienne,Lorient,57.32,53.91,0.4637,0.2669,0.2694,1.48,1.05,,,1.0,1.0,1.97,1.08,1.51,1.18,1.05,1.05
9135,44566,2021,2021-08-08,1843,French Ligue 1,Bordeaux,Clermont Foot,52.82,50.14,0.4589,0.2739,0.2672,1.49,1.09,,,0.0,2.0,0.58,3.11,0.89,1.66,0.0,1.58
9136,44568,2021,2021-08-08,1843,French Ligue 1,Nice,Reims,58.34,50.01,0.5221,0.216,0.2619,1.57,0.91,,,0.0,0.0,0.97,0.2,1.66,0.57,0.0,0.0
9137,44570,2021,2021-08-08,1843,French Ligue 1,Strasbourg,Angers,59.33,53.36,0.492,0.2318,0.2761,1.44,0.9,,,0.0,2.0,0.31,1.32,0.8,0.73,0.0,1.82
9138,44582,2021,2021-08-08,1843,French Ligue 1,Metz,Lille,52.81,71.73,0.2441,0.4678,0.2882,0.89,1.34,,,3.0,3.0,0.99,1.51,0.73,1.88,3.15,2.73
9139,44601,2021,2021-08-08,1843,French Ligue 1,Montpellier,Marseille,54.9,63.55,0.3534,0.395,0.2516,1.44,1.54,,,2.0,3.0,0.51,2.38,0.62,2.33,2.1,3.15
