,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
1076,1239,2016,2017-02-07,1843,French Ligue 1,Paris Saint-Germain,Lille,85.74,59.19,0.7771,0.0608,0.1621,2.32,0.38,,,2.0,1.0,3.26,0.25,1.93,0.1,2.1,1.05
1077,1241,2016,2017-02-08,1854,Italy Serie A,Crotone,Juventus,48.28,84.04,0.1131,0.6672,0.2197,0.69,2.0,,,0.0,2.0,0.15,2.14,0.18,2.94,0.0,2.01
1078,1242,2016,2017-02-08,1843,French Ligue 1,Nice,St Etienne,63.87,64.69,0.4419,0.2525,0.3057,1.35,1.01,,,1.0,0.0,1.43,0.48,1.77,0.9,1.05,0.0
1079,1243,2016,2017-02-08,1843,French Ligue 1,Lorient,Toulouse,49.73,55.71,0.442,0.2691,0.2889,1.55,1.23,,,1.0,1.0,0.56,0.95,1.05,0.96,1.05,1.05
1080,1244,2016,2017-02-08,1843,French Ligue 1,Angers,Stade Rennes,51.5,55.1,0.4176,0.267,0.3154,1.25,1.0,,,0.0,0.0,1.16,0.58,0.88,0.9,0.0,0.0
1081,1245,2016,2017-02-08,1843,French Ligue 1,Metz,Dijon FCO,49.07,55.43,0.3975,0.3129,0.2896,1.49,1.38,,,2.0,1.0,1.62,0.97,0.97,0.88,2.1,1.05
1082,1246,2016,2017-02-08,1843,French Ligue 1,Lyon,AS Nancy Lorraine,72.58,50.63,0.6261,0.1326,0.2413,1.86,0.74,,,4.0,0.0,2.67,0.33,2.38,0.84,4.2,0.0
1083,1247,2016,2017-02-08,1854,Italy Serie A,Bologna,AC Milan,53.63,65.78,0.312,0.3757,0.3123,1.08,1.2,,,0.0,1.0,1.69,1.66,2.58,1.17,0.0,1.05
1084,1248,2016,2017-02-08,1843,French Ligue 1,Marseille,Guingamp,63.31,58.59,0.4961,0.221,0.2829,1.64,1.03,,,2.0,0.0,1.67,0.82,1.63,1.02,1.96,0.0
