,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
812,931,2016,2016-12-20,1845,German Bundesliga,Borussia Dortmund,FC Augsburg,86.81,65.89,0.8016,0.0512,0.1472,2.15,0.48,,,1.0,1.0,2.02,1.28,2.1,0.48,1.05,1.05
813,932,2016,2016-12-20,1845,German Bundesliga,Hamburg SV,Schalke 04,58.68,73.47,0.2955,0.4288,0.2757,1.04,1.3,,,2.0,1.0,2.78,0.52,1.12,0.57,1.81,1.05
814,933,2016,2016-12-20,1845,German Bundesliga,Eintracht Frankfurt,Mainz,72.26,68.09,0.5156,0.2189,0.2655,1.42,0.88,,,3.0,0.0,1.25,1.01,1.31,0.77,2.66,0.0
815,934,2016,2016-12-20,1845,German Bundesliga,Borussia Monchengladbach,VfL Wolfsburg,69.55,68.97,0.4626,0.2608,0.2766,1.32,0.93,,,1.0,2.0,1.73,2.41,1.74,0.96,1.05,2.1
816,935,2016,2016-12-20,1854,Italy Serie A,Atalanta,Empoli,65.98,44.44,0.6289,0.1155,0.2557,1.62,0.62,,,2.0,1.0,2.67,0.15,3.56,0.64,2.1,1.05
817,936,2016,2016-12-21,1845,German Bundesliga,FC Ingolstadt 04,SC Freiburg,59.21,66.28,0.4369,0.295,0.268,1.39,1.07,,,1.0,2.0,1.22,1.59,1.73,0.92,1.05,2.1
818,937,2016,2016-12-21,1845,German Bundesliga,FC Cologne,Bayer Leverkusen,71.22,77.72,0.3748,0.341,0.2842,1.18,1.11,,,1.0,1.0,0.72,1.87,1.08,1.19,1.05,1.05
819,938,2016,2016-12-21,1845,German Bundesliga,Hertha Berlin,SV Darmstadt 98,71.2,49.33,0.6457,0.1184,0.2359,1.53,0.56,,,2.0,0.0,2.0,1.16,1.39,0.55,2.1,0.0
820,939,2016,2016-12-21,1845,German Bundesliga,Bayern Munich,RB Leipzig,92.44,79.18,0.76,0.0659,0.1741,1.93,0.64,,,3.0,0.0,4.85,0.16,2.6,0.31,3.15,0.0
821,940,2016,2016-12-21,1845,German Bundesliga,TSG Hoffenheim,Werder Bremen,73.24,61.39,0.6221,0.1708,0.2071,2.05,1.08,,,1.0,1.0,1.38,0.65,0.95,1.3,1.05,1.05
822,941,2016,2016-12-21,1854,Italy Serie A,Internazionale,Lazio,73.52,71.34,0.4795,0.2517,0.2688,1.67,1.2,,,3.0,0.0,1.23,0.64,1.55,1.27,3.15,0.0
823,942,2016,2016-12-21,1843,French Ligue 1,Dijon FCO,Toulouse,54.77,58.58,0.416,0.2903,0.2937,1.47,1.26,,,2.0,0.0,1.34,1.05,0.91,1.45,2.1,0.0
824,943,2016,2016-12-21,1843,French Ligue 1,Lyon,Angers,75.75,53.74,0.6688,0.109,0.2222,2.01,0.64,,,2.0,0.0,1.55,0.87,0.98,1.07,1.75,0.0
825,944,2016,2016-12-21,1843,French Ligue 1,Nantes,Montpellier,51.55,62.25,0.3616,0.3358,0.3025,1.25,1.31,,,1.0,0.0,0.9,1.63,0.5,2.03,1.05,0.0
826,945,2016,2016-12-21,1843,French Ligue 1,Metz,Guingamp,46.98,61.14,0.3272,0.3764,0.2964,1.25,1.49,,,2.0,2.0,1.1,1.79,1.37,1.1,2.1,2.1
827,946,2016,2016-12-21,1843,French Ligue 1,Lille,Stade Rennes,59.13,55.57,0.4712,0.2241,0.3047,1.42,0.88,,,1.0,1.0,2.53,0.63,1.31,0.79,1.05,1.05
828,947,2016,2016-12-21,1843,French Ligue 1,St Etienne,AS Nancy Lorraine,60.3,51.09,0.4741,0.2065,0.3194,1.27,0.72,,,0.0,0.0,1.62,0.15,2.25,0.3,0.0,0.0
829,948,2016,2016-12-21,1843,French Ligue 1,Bordeaux,Nice,55.08,65.42,0.3564,0.349,0.2945,1.33,1.4,,,0.0,0.0,1.58,1.21,1.42,0.89,0.0,0.0
830,949,2016,2016-12-21,1843,French Ligue 1,Bastia,Marseille,52.26,63.42,0.3615,0.317,0.3215,1.08,1.13,,,1.0,2.0,2.48,1.5,1.61,1.0,1.05,2.1
831,950,2016,2016-12-21,1843,French Ligue 1,Paris Saint-Germain,Lorient,83.93,48.88,0.8117,0.0563,0.132,2.88,0.56,,,5.0,0.0,1.86,0.11,1.84,0.47,5.25,0.0
832,951,2016,2016-12-21,1843,French Ligue 1,AS Monaco,Caen,79.51,52.82,0.7691,0.0759,0.155,2.75,0.71,,,2.0,1.0,3.13,2.33,2.19,1.27,1.96,1.05
