,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
6814,31155,2019,2020-03-22,1843,French Ligue 1,Reims,Nantes,60.49,55.23,0.4942,0.2251,0.2806,1.4,0.84,,,,,,,,,,
6815,31157,2019,2020-03-22,1843,French Ligue 1,Marseille,Paris Saint-Germain,76.34,85.27,0.3294,0.4318,0.2388,1.48,1.72,,,,,,,,,,
6816,31191,2019,2020-04-04,1843,French Ligue 1,Montpellier,Lille,49.75,73.97,0.2182,0.5443,0.2374,1.05,1.8,,,,,,,,,,
6817,31195,2019,2020-04-04,1843,French Ligue 1,Toulouse,St Etienne,56.69,39.26,0.3694,0.3843,0.2463,1.51,1.55,,,,,,,,,,
6818,31216,2019,2020-04-05,1843,French Ligue 1,AS Monaco,Nantes,71.42,55.23,0.6319,0.152,0.2161,1.96,0.84,,,,,,,,,,
6819,31219,2019,2020-04-05,1843,French Ligue 1,Dijon FCO,Nice,35.06,65.3,0.4068,0.3061,0.2871,1.26,1.06,,,,,,,,,,
6820,31220,2019,2020-04-05,1843,French Ligue 1,Amiens,Stade Rennes,35.48,71.33,0.3538,0.3553,0.2909,1.15,1.15,,,,,,,,,,
6821,31221,2019,2020-04-05,1843,French Ligue 1,Strasbourg,Angers,61.0,50.52,0.5671,0.2009,0.232,1.85,1.0,,,,,,,,,,
6822,31222,2019,2020-04-05,1843,French Ligue 1,Bordeaux,Reims,43.25,60.49,0.5443,0.1867,0.269,1.49,0.75,,,,,,,,,,
6823,31224,2019,2020-04-05,1843,French Ligue 1,Brest,Marseille,52.22,76.34,0.2107,0.5511,0.2382,1.01,1.78,,,,,,,,,,
6824,31225,2019,2020-04-05,1843,French Ligue 1,Lyon,Nimes,71.44,27.85,0.6396,0.1445,0.216,1.94,0.8,,,,,,,,,,
6825,31226,2019,2020-04-05,1843,French Ligue 1,Paris Saint-Germain,Metz,85.27,46.11,0.6394,0.1606,0.2,2.19,1.0,,,,,,,,,,
6826,31252,2019,2020-04-11,1843,French Ligue 1,Angers,Paris Saint-Germain,50.52,85.27,0.1181,0.7138,0.1682,0.93,2.51,,,,,,,,,,
6827,31253,2019,2020-04-11,1843,French Ligue 1,Nantes,Lyon,55.23,71.44,0.2779,0.4586,0.2635,1.11,1.5,,,,,,,,,,
6828,31254,2019,2020-04-11,1843,French Ligue 1,Marseille,Dijon FCO,76.34,35.06,0.6142,0.1579,0.2279,1.84,0.81,,,,,,,,,,
6829,31255,2019,2020-04-11,1843,French Ligue 1,Nimes,Montpellier,27.85,49.75,0.4832,0.2593,0.2574,1.58,1.09,,,,,,,,,,
6830,31256,2019,2020-04-11,1843,French Ligue 1,Bordeaux,Amiens,43.25,35.48,0.5081,0.1991,0.2928,1.32,0.71,,,,,,,,,,
6831,31257,2019,2020-04-11,1843,French Ligue 1,Metz,Lille,46.11,73.97,0.4208,0.3092,0.2699,1.4,1.17,,,,,,,,,,
6832,31258,2019,2020-04-11,1843,French Ligue 1,Brest,AS Monaco,52.22,71.42,0.2542,0.508,0.2378,1.2,1.79,,,,,,,,,,
6833,31259,2019,2020-04-11,1843,French Ligue 1,Reims,Toulouse,60.49,56.69,0.4783,0.2601,0.2616,1.54,1.06,,,,,,,,,,
6834,31260,2019,2020-04-11,1843,French Ligue 1,Nice,Strasbourg,65.3,61.0,0.4855,0.2574,0.2572,1.58,1.08,,,,,,,,,,
6835,31261,2019,2020-04-11,1843,French Ligue 1,St Etienne,Stade Rennes,39.26,71.33,0.3781,0.3698,0.2521,1.48,1.46,,,,,,,,,,
6836,31294,2019,2020-04-18,1843,French Ligue 1,Strasbourg,Brest,61.0,52.22,0.5492,0.2149,0.2359,1.81,1.04,,,,,,,,,,
6837,31295,2019,2020-04-18,1843,French Ligue 1,Montpellier,Reims,49.75,60.49,0.3475,0.3819,0.2706,1.26,1.33,,,,,,,,,,
6838,31296,2019,2020-04-18,1843,French Ligue 1,Lille,Nice,73.97,65.3,0.542,0.1956,0.2624,1.55,0.82,,,,,,,,,,
6839,31297,2019,2020-04-18,1843,French Ligue 1,Paris Saint-Germain,St Etienne,85.27,39.26,0.7203,0.1161,0.1636,2.58,0.95,,,,,,,,,,
6840,31298,2019,2020-04-18,1843,French Ligue 1,Amiens,Nimes,35.48,27.85,0.5316,0.1898,0.2787,1.42,0.73,,,,,,,,,,
6841,31299,2019,2020-04-18,1843,French Ligue 1,AS Monaco,Bordeaux,71.42,43.25,0.4667,0.2757,0.2576,1.56,1.14,,,,,,,,,,
6842,31300,2019,2020-04-18,1843,French Ligue 1,Toulouse,Nantes,56.69,55.23,0.4705,0.2655,0.264,1.51,1.07,,,,,,,,,,
6843,31301,2019,2020-04-18,1843,French Ligue 1,Dijon FCO,Angers,35.06,50.52,0.5597,0.1895,0.2508,1.65,0.84,,,,,,,,,,
6844,31302,2019,2020-04-18,1843,French Ligue 1,Stade Rennes,Metz,71.33,46.11,0.4435,0.296,0.2605,1.51,1.19,,,,,,,,,,
6845,31310,2019,2020-04-19,1843,French Ligue 1,Lyon,Marseille,71.44,76.34,0.3914,0.3513,0.2574,1.46,1.37,,,,,,,,,,
6846,31378,2019,2020-04-26,1843,French Ligue 1,Nimes,Lille,27.85,73.97,0.2461,0.4924,0.2615,1.01,1.55,,,,,,,,,,
6847,31379,2019,2020-04-26,1843,French Ligue 1,Nantes,Amiens,55.23,35.48,0.3553,0.3337,0.311,1.05,1.0,,,,,,,,,,
6848,31380,2019,2020-04-26,1843,French Ligue 1,Marseille,Nice,76.34,65.3,0.5752,0.1787,0.2462,1.68,0.82,,,,,,,,,,
6849,31381,2019,2020-04-26,1843,French Ligue 1,Lyon,AS Monaco,71.44,71.42,0.452,0.3068,0.2412,1.72,1.38,,,,,,,,,,
6850,31382,2019,2020-04-26,1843,French Ligue 1,Stade Rennes,Strasbourg,71.33,61.0,0.5644,0.2083,0.2272,1.91,1.07,,,,,,,,,,
6851,31383,2019,2020-04-26,1843,French Ligue 1,Reims,Paris Saint-Germain,60.49,85.27,0.1802,0.6082,0.2117,1.04,2.07,,,,,,,,,,
6852,31384,2019,2020-04-26,1843,French Ligue 1,Brest,Montpellier,52.22,49.75,0.468,0.2749,0.2571,1.57,1.14,,,,,,,,,,
6853,31385,2019,2020-04-26,1843,French Ligue 1,St Etienne,Angers,39.26,50.52,0.6033,0.174,0.2227,1.92,0.92,,,,,,,,,,
6854,31386,2019,2020-04-26,1843,French Ligue 1,Metz,Dijon FCO,46.11,35.06,0.5579,0.1949,0.2471,1.68,0.89,,,,,,,,,,
6855,31387,2019,2020-04-26,1843,French Ligue 1,Bordeaux,Toulouse,43.25,56.69,0.5854,0.1763,0.2383,1.76,0.85,,,,,,,,,,
6856,31405,2019,2020-05-02,1843,French Ligue 1,AS Monaco,Metz,71.42,46.11,0.4499,0.3031,0.247,1.65,1.31,,,,,,,,,,
6857,31406,2019,2020-05-02,1843,French Ligue 1,Amiens,St Etienne,35.48,39.26,0.4244,0.2977,0.2778,1.35,1.08,,,,,,,,,,
6858,31407,2019,2020-05-02,1843,French Ligue 1,Strasbourg,Marseille,61.0,76.34,0.2877,0.4701,0.2422,1.3,1.72,,,,,,,,,,
6859,31408,2019,2020-05-02,1843,French Ligue 1,Nice,Nantes,65.3,55.23,0.544,0.1861,0.2699,1.49,0.75,,,,,,,,,,
6860,31409,2019,2020-05-02,1843,French Ligue 1,Paris Saint-Germain,Brest,85.27,52.22,0.8214,0.0562,0.1225,2.8,0.62,,,,,,,,,,
6861,31410,2019,2020-05-02,1843,French Ligue 1,Montpellier,Bordeaux,49.75,43.25,0.2542,0.4876,0.2583,1.06,1.57,,,,,,,,,,
6862,31411,2019,2020-05-02,1843,French Ligue 1,Toulouse,Nimes,56.69,27.85,0.4835,0.2606,0.256,1.59,1.1,,,,,,,,,,
6863,31412,2019,2020-05-02,1843,French Ligue 1,Lille,Reims,73.97,60.49,0.5933,0.1612,0.2455,1.68,0.74,,,,,,,,,,
6864,31413,2019,2020-05-02,1843,French Ligue 1,Dijon FCO,Lyon,35.06,71.44,0.3415,0.3936,0.2649,1.29,1.4,,,,,,,,,,
6865,31414,2019,2020-05-02,1843,French Ligue 1,Angers,Stade Rennes,50.52,71.33,0.2431,0.507,0.2499,1.07,1.66,,,,,,,,,,
6866,31466,2019,2020-05-09,1843,French Ligue 1,Marseille,AS Monaco,76.34,71.42,0.5118,0.2519,0.2363,1.81,1.21,,,,,,,,,,
6867,31467,2019,2020-05-09,1843,French Ligue 1,Reims,Amiens,60.49,35.48,0.4067,0.2857,0.3076,1.15,0.91,,,,,,,,,,
6868,31468,2019,2020-05-09,1843,French Ligue 1,St Etienne,Lille,39.26,73.97,0.3483,0.3935,0.2582,1.36,1.46,,,,,,,,,,
6869,31469,2019,2020-05-09,1843,French Ligue 1,Bordeaux,Angers,43.25,50.52,0.6451,0.1271,0.2278,1.79,0.64,,,,,,,,,,
6870,31470,2019,2020-05-09,1843,French Ligue 1,Nimes,Strasbourg,27.85,61.0,0.3693,0.3714,0.2594,1.4,1.4,,,,,,,,,,
6871,31471,2019,2020-05-09,1843,French Ligue 1,Nantes,Brest,55.23,52.22,0.4687,0.2545,0.2768,1.41,0.96,,,,,,,,,,
6872,31472,2019,2020-05-09,1843,French Ligue 1,Metz,Nice,46.11,65.3,0.5189,0.2178,0.2633,1.54,0.9,,,,,,,,,,
6873,31473,2019,2020-05-09,1843,French Ligue 1,Stade Rennes,Dijon FCO,71.33,35.06,0.5544,0.1996,0.246,1.7,0.91,,,,,,,,,,
6874,31474,2019,2020-05-09,1843,French Ligue 1,Lyon,Montpellier,71.44,49.75,0.6808,0.1279,0.1913,2.2,0.83,,,,,,,,,,
6875,31475,2019,2020-05-09,1843,French Ligue 1,Toulouse,Paris Saint-Germain,56.69,85.27,0.1551,0.6634,0.1815,1.13,2.47,,,,,,,,,,
