,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
6795,31033,2019,2020-03-13,1843,French Ligue 1,Lyon,Reims,71.44,60.49,0.5855,0.1759,0.2385,1.76,0.84,21.7,6.2,,,,,,,,
6796,31047,2019,2020-03-14,1843,French Ligue 1,Montpellier,Marseille,49.75,76.34,0.1716,0.6162,0.2123,0.98,2.05,6.7,45.0,,,,,,,,
6797,31053,2019,2020-03-14,1843,French Ligue 1,Nantes,Nimes,55.23,27.85,0.4084,0.3045,0.2871,1.27,1.05,1.1,46.2,,,,,,,,
6798,31054,2019,2020-03-14,1843,French Ligue 1,Toulouse,Metz,56.69,46.11,0.2887,0.4613,0.25,1.24,1.63,1.0,11.2,,,,,,,,
6799,31055,2019,2020-03-14,1843,French Ligue 1,Brest,Lille,52.22,73.97,0.1826,0.5782,0.2393,0.87,1.75,9.9,81.6,,,,,,,,
6800,31056,2019,2020-03-14,1843,French Ligue 1,Strasbourg,Dijon FCO,61.0,35.06,0.4322,0.3104,0.2573,1.53,1.26,3.8,21.3,,,,,,,,
6801,31057,2019,2020-03-14,1843,French Ligue 1,Amiens,Angers,35.48,50.52,0.617,0.1327,0.2503,1.61,0.59,52.8,1.0,,,,,,,,
6802,31073,2019,2020-03-15,1843,French Ligue 1,Bordeaux,Stade Rennes,43.25,71.33,0.3562,0.3644,0.2793,1.22,1.24,2.2,81.2,,,,,,,,
6803,31077,2019,2020-03-15,1843,French Ligue 1,AS Monaco,St Etienne,71.42,39.26,0.522,0.2512,0.2268,1.94,1.29,10.2,24.6,,,,,,,,
6804,31090,2019,2020-03-15,1843,French Ligue 1,Paris Saint-Germain,Nice,85.27,65.3,0.6982,0.1159,0.1859,2.22,0.78,0.0,8.7,,,,,,,,
6805,31099,2019,2020-03-18,1843,French Ligue 1,Strasbourg,Paris Saint-Germain,61.0,85.27,0.1916,0.6139,0.1945,1.26,2.36,11.9,0.3,,,,,,,,
6806,31112,2019,2020-03-20,1843,French Ligue 1,Lille,AS Monaco,73.97,71.42,0.4784,0.2737,0.2479,1.67,1.2,,,,,,,,,,
6807,31124,2019,2020-03-21,1843,French Ligue 1,Stade Rennes,Lyon,71.33,71.44,0.4479,0.2981,0.2539,1.58,1.24,,,,,,,,,,
6808,31130,2019,2020-03-21,1843,French Ligue 1,Angers,Toulouse,50.52,56.69,0.3803,0.3572,0.2624,1.39,1.34,,,,,,,,,,
6809,31131,2019,2020-03-21,1843,French Ligue 1,Metz,Brest,46.11,52.22,0.6555,0.1319,0.2126,1.95,0.74,,,,,,,,,,
6810,31132,2019,2020-03-21,1843,French Ligue 1,Dijon FCO,Amiens,35.06,35.48,0.4231,0.2775,0.2993,1.21,0.92,,,,,,,,,,
6811,31133,2019,2020-03-21,1843,French Ligue 1,Nimes,Bordeaux,27.85,43.25,0.2826,0.4365,0.2809,1.03,1.34,,,,,,,,,,
6812,31134,2019,2020-03-21,1843,French Ligue 1,Nice,Montpellier,65.3,49.75,0.5994,0.1659,0.2347,1.78,0.81,,,,,,,,,,
6813,31153,2019,2020-03-22,1843,French Ligue 1,St Etienne,Strasbourg,39.26,61.0,0.4919,0.2738,0.2343,1.83,1.32,,,,,,,,,,
