,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
206,239,2016,2016-09-20,1843,French Ligue 1,Lille,Toulouse,62.13,59.92,0.4686,0.2327,0.2986,1.46,0.98,,,1.0,2.0,0.91,1.41,1.26,0.83,1.05,2.1
207,240,2016,2016-09-20,1845,German Bundesliga,VfL Wolfsburg,Borussia Dortmund,76.02,89.04,0.2541,0.5032,0.2427,1.21,1.69,,,1.0,5.0,3.5,1.96,2.13,1.06,1.05,5.18
208,241,2016,2016-09-20,1869,Spanish Primera Division,Málaga,Eibar,70.26,63.32,0.5244,0.2007,0.275,1.45,0.68,,,2.0,1.0,0.46,1.78,0.98,1.37,2.1,1.05
209,242,2016,2016-09-20,1845,German Bundesliga,SC Freiburg,Hamburg SV,68.58,59.88,0.5745,0.192,0.2334,1.72,0.95,,,1.0,0.0,1.49,0.84,1.42,0.8,1.05,0.0
210,243,2016,2016-09-20,1845,German Bundesliga,FC Ingolstadt 04,Eintracht Frankfurt,58.01,66.74,0.4217,0.2982,0.2801,1.26,1.0,,,0.0,2.0,0.87,0.51,1.52,0.62,0.0,2.1
211,244,2016,2016-09-20,1845,German Bundesliga,SV Darmstadt 98,TSG Hoffenheim,52.18,65.91,0.3653,0.3758,0.2589,1.37,1.36,,,1.0,1.0,1.72,1.56,0.77,1.47,1.05,1.05
212,245,2016,2016-09-20,1854,Italy Serie A,AC Milan,Lazio,66.61,68.09,0.4322,0.2851,0.2827,1.51,1.22,,,2.0,0.0,2.37,0.98,1.31,2.25,2.02,0.0
213,246,2016,2016-09-20,1843,French Ligue 1,Paris Saint-Germain,Dijon FCO,86.14,54.05,0.8514,0.042,0.1066,2.94,0.51,,,3.0,0.0,1.83,0.29,1.31,0.54,3.15,0.0
214,247,2016,2016-09-20,1869,Spanish Primera Division,Sevilla FC,Real Betis,78.93,70.13,0.5763,0.1987,0.225,2.01,1.04,,,1.0,0.0,0.73,0.47,1.63,1.12,1.05,0.0
215,248,2016,2016-09-21,1854,Italy Serie A,Bologna,Sampdoria,53.4,55.73,0.4106,0.2846,0.3048,1.33,1.06,,,2.0,0.0,1.07,1.05,0.89,0.66,2.1,0.0
216,249,2016,2016-09-21,1843,French Ligue 1,Guingamp,Lorient,58.36,43.72,0.5334,0.1921,0.2745,1.76,0.93,,,1.0,0.0,1.86,0.83,0.84,1.6,1.05,0.0
217,250,2016,2016-09-21,1843,French Ligue 1,Lyon,Montpellier,69.06,57.87,0.5737,0.1721,0.2542,1.87,0.96,,,5.0,1.0,2.25,0.5,1.21,0.23,5.13,1.05
218,251,2016,2016-09-21,1843,French Ligue 1,Bastia,AS Nancy Lorraine,52.79,49.84,0.4288,0.2599,0.3113,1.31,1.0,,,0.0,0.0,0.33,0.09,0.77,0.05,0.0,0.0
219,252,2016,2016-09-21,1843,French Ligue 1,Angers,Caen,54.7,53.01,0.4601,0.2403,0.2995,1.47,1.0,,,2.0,1.0,1.24,0.57,0.84,1.19,2.1,1.05
220,253,2016,2016-09-21,1843,French Ligue 1,Nantes,St Etienne,54.17,66.24,0.3508,0.3273,0.3219,1.06,1.13,,,0.0,0.0,2.41,0.2,2.01,0.36,0.0,0.0
221,254,2016,2016-09-21,1843,French Ligue 1,Metz,Bordeaux,56.98,60.47,0.4186,0.2895,0.2919,1.5,1.26,,,0.0,3.0,0.43,1.96,0.82,1.51,0.0,2.99
222,255,2016,2016-09-21,1843,French Ligue 1,Nice,AS Monaco,58.59,73.91,0.2846,0.428,0.2873,1.19,1.51,,,4.0,0.0,1.89,1.64,1.0,2.34,3.81,0.0
223,256,2016,2016-09-21,1869,Spanish Primera Division,Celta Vigo,Sporting Gijón,71.28,61.75,0.4844,0.2407,0.2749,1.46,0.84,,,2.0,1.0,1.35,0.89,1.67,0.24,2.1,1.05
224,257,2016,2016-09-21,1845,German Bundesliga,Bayer Leverkusen,FC Augsburg,78.88,64.54,0.6801,0.1174,0.2025,1.83,0.77,,,0.0,0.0,2.18,0.28,1.77,0.35,0.0,0.0
225,258,2016,2016-09-21,1845,German Bundesliga,Bayern Munich,Hertha Berlin,94.01,71.52,0.8704,0.0246,0.1049,2.33,0.31,,,3.0,0.0,2.88,0.17,2.92,0.26,3.12,0.0
226,259,2016,2016-09-21,1869,Spanish Primera Division,Real Madrid,Villarreal,92.6,78.21,0.7775,0.0744,0.1481,2.42,0.65,,,1.0,1.0,1.53,1.12,3.07,0.67,1.05,1.05
227,260,2016,2016-09-21,1845,German Bundesliga,Schalke 04,FC Cologne,69.81,69.8,0.4355,0.2783,0.2862,1.27,0.89,,,1.0,3.0,1.63,1.17,2.27,1.26,1.05,2.81
228,261,2016,2016-09-21,1845,German Bundesliga,Werder Bremen,Mainz,60.68,70.56,0.3629,0.3877,0.2494,1.45,1.56,,,1.0,2.0,1.12,1.37,0.48,1.2,1.05,2.1
229,262,2016,2016-09-21,1845,German Bundesliga,RB Leipzig,Borussia Monchengladbach,70.08,73.92,0.4052,0.3275,0.2673,1.36,1.18,,,1.0,1.0,1.42,0.21,0.96,0.79,1.05,1.05
230,263,2016,2016-09-21,1854,Italy Serie A,Atalanta,Palermo,55.77,48.72,0.4684,0.2476,0.284,1.54,1.1,,,0.0,1.0,1.67,1.45,1.17,0.49,0.0,1.05
231,264,2016,2016-09-21,1854,Italy Serie A,Juventus,Cagliari,82.43,58.24,0.8095,0.0391,0.1514,2.24,0.46,,,4.0,0.0,3.32,0.11,1.9,0.3,3.86,0.0
232,265,2016,2016-09-21,1854,Italy Serie A,AS Roma,Crotone,75.6,47.48,0.8208,0.0422,0.1369,2.48,0.58,,,4.0,0.0,1.74,1.33,1.71,0.98,4.2,0.0
233,266,2016,2016-09-21,1854,Italy Serie A,Genoa,Napoli,59.92,77.55,0.2326,0.5181,0.2492,1.3,1.86,,,0.0,0.0,0.95,1.0,1.19,1.7,0.0,0.0
234,267,2016,2016-09-21,1854,Italy Serie A,Udinese,Fiorentina,52.65,68.79,0.2709,0.4515,0.2776,1.21,1.59,,,2.0,2.0,2.05,1.17,0.93,1.01,2.1,2.1
235,268,2016,2016-09-21,1854,Italy Serie A,Empoli,Internazionale,52.36,71.49,0.2897,0.4206,0.2897,1.18,1.42,,,0.0,2.0,0.46,1.82,0.84,1.2,0.0,2.1
236,269,2016,2016-09-21,1854,Italy Serie A,Chievo Verona,Sassuolo,57.99,60.54,0.4145,0.2771,0.3084,1.29,1.02,,,2.0,1.0,0.18,0.54,0.48,0.97,2.1,1.05
237,270,2016,2016-09-21,1854,Italy Serie A,US Pescara,Torino,50.11,64.1,0.3509,0.3788,0.2703,1.52,1.61,,,0.0,0.0,1.05,0.61,1.76,1.13,0.0,0.0
238,271,2016,2016-09-21,1843,French Ligue 1,Stade Rennes,Marseille,54.62,60.69,0.4017,0.2875,0.3108,1.26,1.12,,,3.0,2.0,2.06,1.44,0.72,0.27,3.15,2.1
239,272,2016,2016-09-21,1869,Spanish Primera Division,Granada,Athletic Bilbao,52.94,76.32,0.3173,0.3983,0.2844,1.08,1.3,,,1.0,2.0,0.95,1.89,0.95,1.46,1.05,2.1
240,273,2016,2016-09-21,1869,Spanish Primera Division,Real Sociedad,Las Palmas,73.01,66.99,0.515,0.2267,0.2583,1.66,0.91,,,4.0,1.0,2.82,1.03,2.22,0.23,4.2,1.05
241,274,2016,2016-09-21,1869,Spanish Primera Division,Barcelona,Atletico Madrid,96.49,90.6,0.6809,0.1235,0.1955,2.04,0.87,,,1.0,1.0,1.43,0.36,2.74,0.58,1.05,1.05
