,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
6901,31559,2019,2020-05-23,1843,French Ligue 1,Bordeaux,Lille,43.25,73.97,0.398,0.3156,0.2864,1.25,1.08,,,,,,,,,,
6902,31560,2019,2020-05-23,1843,French Ligue 1,Lyon,Brest,71.44,52.22,0.6564,0.1359,0.2077,2.02,0.79,,,,,,,,,,
6903,31561,2019,2020-05-23,1843,French Ligue 1,Amiens,Nice,35.48,65.3,0.4151,0.2761,0.3088,1.15,0.88,,,,,,,,,,
6904,31562,2019,2020-05-23,1843,French Ligue 1,Nimes,Paris Saint-Germain,27.85,85.27,0.1371,0.6799,0.183,0.97,2.36,,,,,,,,,,
6905,31563,2019,2020-05-23,1843,French Ligue 1,St Etienne,Dijon FCO,39.26,35.06,0.4844,0.2633,0.2523,1.63,1.13,,,,,,,,,,
6906,31564,2019,2020-05-23,1843,French Ligue 1,Toulouse,Montpellier,56.69,49.75,0.5244,0.2388,0.2367,1.81,1.15,,,,,,,,,,
6907,31565,2019,2020-05-23,1843,French Ligue 1,Reims,Marseille,60.49,76.34,0.2759,0.4577,0.2664,1.09,1.48,,,,,,,,,,
6908,31566,2019,2020-05-23,1843,French Ligue 1,Metz,Angers,46.11,50.52,0.6718,0.1216,0.2066,1.99,0.7,,,,,,,,,,
6909,31567,2019,2020-05-23,1843,French Ligue 1,Nantes,Strasbourg,55.23,61.0,0.3788,0.3553,0.266,1.36,1.31,,,,,,,,,,
6910,31568,2019,2020-05-23,1843,French Ligue 1,Stade Rennes,AS Monaco,71.33,71.42,0.4492,0.3059,0.2449,1.67,1.34,,,,,,,,,,
