,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
6882,31526,2019,2020-05-16,1843,French Ligue 1,AS Monaco,Toulouse,71.42,56.69,0.6182,0.1759,0.2059,2.14,1.05,,,,,,,,,,
6883,31527,2019,2020-05-16,1843,French Ligue 1,Brest,Nimes,52.22,27.85,0.4288,0.2961,0.2751,1.38,1.1,,,,,,,,,,
6884,31528,2019,2020-05-16,1843,French Ligue 1,Montpellier,Nantes,49.75,55.23,0.4004,0.3273,0.2724,1.35,1.2,,,,,,,,,,
6885,31529,2019,2020-05-16,1843,French Ligue 1,Lille,Amiens,73.97,35.48,0.5568,0.1737,0.2695,1.49,0.7,,,,,,,,,,
6886,31530,2019,2020-05-16,1843,French Ligue 1,Angers,Lyon,50.52,71.44,0.2414,0.5136,0.2451,1.1,1.71,,,,,,,,,,
6887,31531,2019,2020-05-16,1843,French Ligue 1,Strasbourg,Bordeaux,61.0,43.25,0.3562,0.3776,0.2662,1.31,1.36,,,,,,,,,,
6888,31532,2019,2020-05-16,1843,French Ligue 1,Marseille,Metz,76.34,46.11,0.5045,0.2439,0.2517,1.64,1.06,,,,,,,,,,
6889,31533,2019,2020-05-16,1843,French Ligue 1,Dijon FCO,Reims,35.06,60.49,0.4571,0.2628,0.2801,1.37,0.97,,,,,,,,,,
6890,31534,2019,2020-05-16,1843,French Ligue 1,Paris Saint-Germain,Stade Rennes,85.27,71.33,0.6452,0.1583,0.1966,2.23,1.01,,,,,,,,,,
6891,31535,2019,2020-05-16,1843,French Ligue 1,Nice,St Etienne,65.3,39.26,0.4483,0.288,0.2637,1.49,1.14,,,,,,,,,,
