,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
1600,2039,2016,2017-04-25,1869,Spanish Primera Division,Atletico Madrid,Villarreal,87.75,79.07,0.6043,0.1315,0.2642,1.5,0.55,,,0.0,1.0,1.27,0.84,2.29,0.47,0.0,1.05
1601,2044,2016,2017-04-26,1869,Spanish Primera Division,Barcelona,Osasuna,95.01,49.77,0.9684,0.0054,0.0262,3.94,0.33,,,7.0,1.0,3.74,0.1,2.79,0.07,6.94,1.05
1602,2045,2016,2017-04-26,1869,Spanish Primera Division,Leganes,Las Palmas,67.43,68.21,0.4348,0.2886,0.2766,1.42,1.02,,,3.0,0.0,2.29,0.09,1.61,0.54,3.15,0.0
1603,2046,2016,2017-04-26,1869,Spanish Primera Division,Valencia,Real Sociedad,72.89,76.5,0.419,0.3157,0.2652,1.49,1.19,,,2.0,3.0,2.07,1.47,1.49,0.89,2.1,3.15
